,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,경희궁자이2단지,82A㎡,서울시 종로구 홍파동,1111017900,199,서울시 종로구 송월길 99,37.570876,126.963882,1148,0,21,9,252,24,1506,지에스건설주식회사,HT001,82.6,59.85,72,3,2,76,계단식,1121400,1958670,224280,612990,0,0,0,,168940,193609,"16억 1,000",18억,,,,,,,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,7,89.0,99.0
1,경희궁자이2단지,83B㎡,서울시 종로구 홍파동,1111017900,199,서울시 종로구 송월길 99,37.570876,126.963882,1148,0,21,9,252,24,1506,지에스건설주식회사,HT001,83.8,59.89,71,3,2,52,계단식,1166400,2028420,233280,628740,0,0,0,,169053,193739,,"19억 7,000",,,"6억 5,000/70",7억/55,"6억 5,000/70",7억/55,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,7,89.0,99.0
2,경희궁자이2단지,83C㎡,서울시 종로구 홍파동,1111017900,199,서울시 종로구 송월길 99,37.570876,126.963882,1148,0,21,9,252,24,1506,지에스건설주식회사,HT001,83.05,59.86,72,3,2,23,계단식,1116000,1950300,223200,611100,0,0,0,,168970,193644,16억,17억,,"8억 5,000",,,,,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,7,89.0,99.0
3,경희궁자이2단지,102A㎡,서울시 종로구 홍파동,1111017900,199,서울시 종로구 송월길 99,37.570876,126.963882,1148,0,21,9,252,24,1506,지에스건설주식회사,HT001,102.71,77.97,76,3,2,19,계단식,1380600,2360430,276120,703710,0,0,0,,220080,252217,,"19억 3,000",,,,,,,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,7,89.0,99.0
4,경희궁자이2단지,111A㎡,서울시 종로구 홍파동,1111017900,199,서울시 종로구 송월길 99,37.570876,126.963882,1148,0,21,9,252,24,1506,지에스건설주식회사,HT001,111.55,84.61,76,3,2,176,계단식,1699200,2854260,339840,815220,216570,180480,36090,,238822,273696,20억,23억,"10억 5,000",12억,2억/340,6억/180,2억/340,6억/180,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,7,89.0,99.0
5,경희궁자이2단지,112B㎡,서울시 종로구 홍파동,1111017900,199,서울시 종로구 송월길 99,37.570876,126.963882,1148,0,21,9,252,24,1506,지에스건설주식회사,HT001,112.69,84.83,75,3,2,342,계단식,1699200,2854260,339840,815220,216570,180480,36090,,239449,274414,"18억 5,000",23억,,"10억 5,000",,"5,000/380",,"5,000/380",서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,7,89.0,99.0
6,경희궁자이2단지,112C㎡,서울시 종로구 홍파동,1111017900,199,서울시 종로구 송월길 99,37.570876,126.963882,1148,0,21,9,252,24,1506,지에스건설주식회사,HT001,112.31,84.94,76,3,2,99,계단식,1699200,2854260,339840,815220,216570,180480,36090,,239755,274765,"18억 5,000",22억,,11억,,,,,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,7,89.0,99.0
7,경희궁자이2단지,113D㎡,서울시 종로구 홍파동,1111017900,199,서울시 종로구 송월길 99,37.570876,126.963882,1148,0,21,9,252,24,1506,지에스건설주식회사,HT001,113.1,84.9,75,3,2,76,계단식,1639800,2762190,327960,794430,140540,117120,23420,,239650,274644,"19억 5,000",20억,"10억 5,000",11억,,,,,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,7,89.0,99.0
8,경희궁자이2단지,113E㎡,서울시 종로구 홍파동,1111017900,199,서울시 종로구 송월길 99,37.570876,126.963882,1148,0,21,9,252,24,1506,지에스건설주식회사,HT001,113.24,84.98,75,3,2,51,계단식,1639800,2762190,327960,794430,140540,117120,23420,,239882,274911,,"20억 5,000","9억 7,000","10억 5,000",,7억/140,,7억/140,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,7,89.0,99.0
9,경희궁자이2단지,113G㎡,서울시 종로구 홍파동,1111017900,199,서울시 종로구 송월길 99,37.570876,126.963882,1148,0,21,9,252,24,1506,지에스건설주식회사,HT001,113.71,84.55,74,2,2,4,계단식,1706400,2865420,341280,817740,225790,188160,37630,,238649,273498,,,,12억,,,,,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,7,89.0,99.0
